problem_id,nudge_type,payoff,decision_cost,weight_dev,max_payoff
6841419397035979098,extreme,171.0,2.0,12.0,188.0
6841419397035979098,greedy,188.0,2.0,12.0,188.0
6841419397035979098,none,188.0,8.0,14.0,188.0
6841419397035979098,random,188.0,6.0,14.0,188.0
6841419397035979098,extreme,188.0,9.0,14.0,188.0
6841419397035979098,greedy,174.0,2.0,14.0,188.0
6841419397035979098,none,172.0,19.0,18.0,172.0
6841419397035979098,random,172.0,16.0,18.0,172.0
6841419397035979098,extreme,157.0,19.0,18.0,172.0
6841419397035979098,greedy,172.0,17.0,18.0,172.0
6841419397035979098,none,159.0,16.0,18.0,168.0
6841419397035979098,random,159.0,14.0,18.0,168.0
6841419397035979098,extreme,159.0,16.0,18.0,168.0
6841419397035979098,greedy,159.0,14.0,18.0,168.0
6841419397035979098,none,182.0,14.0,22.0,182.0
6841419397035979098,random,175.0,12.0,22.0,182.0
6841419397035979098,extreme,182.0,14.0,22.0,182.0
6841419397035979098,greedy,182.0,12.0,22.0,182.0
16882089433854516812,none,190.0,23.0,12.0,190.0
16882089433854516812,random,190.0,16.0,12.0,190.0
16882089433854516812,extreme,190.0,12.0,12.0,190.0
16882089433854516812,greedy,190.0,12.0,12.0,190.0
16882089433854516812,none,221.0,3.0,14.0,221.0
16882089433854516812,random,221.0,8.0,14.0,221.0
16882089433854516812,extreme,221.0,1.0,14.0,221.0
16882089433854516812,greedy,221.0,1.0,14.0,221.0
16882089433854516812,none,209.0,9.0,10.0,209.0
16882089433854516812,random,209.0,8.0,10.0,209.0
16882089433854516812,extreme,209.0,1.0,10.0,209.0
16882089433854516812,greedy,209.0,1.0,10.0,209.0
16882089433854516812,none,212.0,3.0,16.0,212.0
16882089433854516812,random,212.0,11.0,16.0,212.0
16882089433854516812,extreme,212.0,1.0,16.0,212.0
16882089433854516812,greedy,212.0,1.0,16.0,212.0
16882089433854516812,none,199.0,4.0,24.0,231.0
16882089433854516812,random,231.0,8.0,24.0,231.0
16882089433854516812,extreme,231.0,1.0,24.0,231.0
16882089433854516812,greedy,231.0,2.0,24.0,231.0
16882089433854516812,none,220.0,15.0,10.0,220.0
16882089433854516812,random,220.0,12.0,10.0,220.0
16882089433854516812,extreme,220.0,1.0,10.0,220.0
16882089433854516812,greedy,220.0,1.0,10.0,220.0
16882089433854516812,none,228.0,6.0,18.0,228.0
16882089433854516812,random,153.0,5.0,18.0,228.0
16882089433854516812,extreme,228.0,1.0,18.0,228.0
16882089433854516812,greedy,228.0,1.0,18.0,228.0
16882089433854516812,none,186.0,14.0,18.0,186.0
16882089433854516812,random,186.0,20.0,18.0,186.0
16882089433854516812,extreme,186.0,12.0,18.0,186.0
16882089433854516812,greedy,186.0,12.0,18.0,186.0
16882089433854516812,none,221.0,15.0,12.0,221.0
16882089433854516812,random,221.0,11.0,12.0,221.0
16882089433854516812,extreme,221.0,1.0,12.0,221.0
16882089433854516812,greedy,221.0,1.0,12.0,221.0
16882089433854516812,none,213.0,7.0,26.0,213.0
16882089433854516812,random,213.0,5.0,26.0,213.0
16882089433854516812,extreme,207.0,2.0,26.0,213.0
16882089433854516812,greedy,213.0,8.0,26.0,213.0
3920623913681306590,none,168.0,21.0,18.0,168.0
3920623913681306590,random,168.0,16.0,18.0,168.0
3920623913681306590,extreme,168.0,16.0,18.0,168.0
3920623913681306590,greedy,168.0,5.0,18.0,168.0
3920623913681306590,none,171.0,14.0,14.0,171.0
3920623913681306590,random,171.0,14.0,14.0,171.0
3920623913681306590,extreme,171.0,12.0,14.0,171.0
3920623913681306590,greedy,171.0,2.0,14.0,171.0
3920623913681306590,none,154.0,16.0,30.0,154.0
3920623913681306590,random,154.0,12.0,30.0,154.0
3920623913681306590,extreme,154.0,17.0,30.0,154.0
3920623913681306590,greedy,154.0,16.0,30.0,154.0
3920623913681306590,none,164.0,13.0,14.0,164.0
3920623913681306590,random,164.0,5.0,14.0,164.0
3920623913681306590,extreme,164.0,1.0,14.0,164.0
3920623913681306590,greedy,164.0,1.0,14.0,164.0
3920623913681306590,none,156.0,1.0,8.0,160.0
3920623913681306590,random,156.0,2.0,8.0,160.0
3920623913681306590,extreme,156.0,2.0,8.0,160.0
3920623913681306590,greedy,153.0,1.0,8.0,160.0
3920623913681306590,none,171.0,13.0,26.0,171.0
3920623913681306590,random,171.0,13.0,26.0,171.0
3920623913681306590,extreme,171.0,11.0,26.0,171.0
3920623913681306590,greedy,171.0,13.0,26.0,171.0
3920623913681306590,none,153.0,16.0,10.0,159.0
3920623913681306590,random,153.0,12.0,10.0,159.0
3920623913681306590,extreme,159.0,1.0,10.0,159.0
3920623913681306590,greedy,159.0,1.0,10.0,159.0
3920623913681306590,none,174.0,13.0,14.0,174.0
3920623913681306590,random,174.0,12.0,14.0,174.0
3920623913681306590,extreme,174.0,2.0,14.0,174.0
3920623913681306590,greedy,174.0,2.0,14.0,174.0
3920623913681306590,none,162.0,16.0,16.0,162.0
3920623913681306590,random,162.0,13.0,16.0,162.0
3920623913681306590,extreme,162.0,18.0,16.0,162.0
3920623913681306590,greedy,162.0,17.0,16.0,162.0
3920623913681306590,none,167.0,13.0,18.0,167.0
3920623913681306590,random,167.0,15.0,18.0,167.0
3920623913681306590,extreme,167.0,11.0,18.0,167.0
3920623913681306590,greedy,167.0,13.0,18.0,167.0
2223537118342433948,none,224.0,6.0,14.0,224.0
2223537118342433948,random,224.0,7.0,14.0,224.0
2223537118342433948,extreme,224.0,1.0,14.0,224.0
2223537118342433948,greedy,224.0,1.0,14.0,224.0
2223537118342433948,none,198.0,1.0,16.0,198.0
2223537118342433948,random,198.0,1.0,16.0,198.0
2223537118342433948,extreme,198.0,2.0,16.0,198.0
2223537118342433948,greedy,198.0,1.0,16.0,198.0
2223537118342433948,none,129.0,2.0,8.0,200.0
2223537118342433948,random,129.0,7.0,8.0,200.0
2223537118342433948,extreme,200.0,1.0,8.0,200.0
2223537118342433948,greedy,171.0,1.0,8.0,200.0
2223537118342433948,none,268.0,2.0,30.0,268.0
2223537118342433948,random,268.0,2.0,30.0,268.0
