type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,highlight_weight,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,is_control,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,num_highlight_reveals,participant_id
traffic-light-mouselab,False,3,1,"[1, 1, 1, 13, 13, 13]","[[5, 5, 7, 5, 5], [3, 6, 4, 7, 4], [5, 4, 4, 4, 4]]","[[3, 0, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 0, 3]]","[10, 9, 11]",11,2,23,1,0.049,0.047,0.002,"[1, 13]",2,5,3,8010,6,148,142,none,True,2,traffic-light-mouselab,27,458647,4,0,3,1,0
traffic-light-mouselab,False,3,1,"[4, 1]","[[4, 6, 3, 3, 5], [3, 4, 6, 5, 4], [7, 5, 6, 3, 4]]","[[1, 0, 1, 1, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[17, 12, 1]",17,18,24,1,0.052,0.05133333333333333,0.0006666666666666666,"[4, 1]",2,5,3,3684,2,155,153,none,False,0,traffic-light-mouselab,28,463779,6,1,2,2,0
traffic-light-mouselab,False,3,1,"[3, 3, 3, 6, 6, 6]","[[6, 3, 3, 4, 6], [4, 5, 6, 4, 6], [5, 6, 6, 8, 7]]","[[3, 3, 3, 0, 3], [3, 0, 3, 3, 3], [3, 3, 3, 3, 3]]","[9, 17, 4]",17,14,25,1,0.045,0.043,0.002,"[3, 6]",2,5,3,5146,6,136,130,none,True,1,traffic-light-mouselab,29,470388,5,0,3,1,0
traffic-light-mouselab,False,3,1,"[0, 0, 0, 14, 14, 14]","[[6, 8, 4, 4, 7], [4, 5, 3, 3, 5], [5, 7, 7, 6, 7]]","[[0, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 0]]","[7, 17, 6]",7,14,26,4,0.059,0.056999999999999995,0.002,"[0, 14]",2,5,3,6455,6,176,170,none,True,0,traffic-light-mouselab,30,478290,7,0,3,1,0
traffic-light-mouselab,False,3,1,"[11, 13]","[[3, 3, 5, 4, 5], [6, 8, 5, 3, 6], [6, 4, 5, 6, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 0, 1, 0, 1]]","[8, 5, 17]",17,14,27,3,0.05,0.04933333333333333,0.0006666666666666666,"[11, 13]",2,5,3,4560,2,149,147,none,False,2,traffic-light-mouselab,31,484426,6,1,2,2,0
traffic-light-mouselab,False,3,1,"[9, 6]","[[4, 1, 7, 5, 4], [6, 4, 6, 3, 5], [4, 6, 9, 7, 6]]","[[3, 3, 3, 3, 3], [1, 0, 1, 1, 0], [3, 3, 3, 3, 3]]","[18, 10, 2]",10,16,28,4,0.045,0.04433333333333333,0.0006666666666666666,"[9, 6]",2,5,3,4296,2,134,132,none,False,1,traffic-light-mouselab,32,490623,5,0,2,2,0
traffic-light-mouselab,False,3,1,"[11, 11, 11, 8, 8, 8]","[[5, 4, 8, 2, 7], [3, 5, 4, 5, 2], [6, 5, 4, 3, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 0, 3], [3, 0, 3, 3, 3]]","[2, 8, 20]",20,20,29,3,0.035,0.033,0.002,"[11, 8]",2,5,3,5463,6,104,98,none,True,2,traffic-light-mouselab,33,497394,3,0,3,1,0
traffic-light-mouselab,False,3,1,"[5, 8, 9]","[[5, 5, 4, 1, 3], [2, 6, 4, 3, 5], [6, 6, 5, 5, 3]]","[[3, 3, 3, 3, 3], [0, 1, 1, 0, 0], [3, 3, 3, 3, 3]]","[4, 14, 12]",14,12,30,4,0.039,0.038,0.001,"[5, 8, 9]",3,5,3,4641,3,118,115,none,False,1,traffic-light-mouselab,34,503418,5,0,3,3,0
traffic-light-mouselab,False,3,1,"[1, 3]","[[5, 5, 4, 5, 3], [4, 3, 7, 6, 5], [1, 5, 7, 5, 7]]","[[1, 0, 1, 0, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[20, 8, 2]",20,20,31,3,0.053,0.05233333333333333,0.0006666666666666666,"[1, 3]",2,5,3,3235,2,158,156,none,False,0,traffic-light-mouselab,35,507891,5,1,2,2,0
traffic-light-mouselab,False,3,1,"[11, 14]","[[3, 4, 8, 7, 2], [3, 3, 6, 5, 6], [4, 6, 3, 5, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 0, 1, 1, 0]]","[4, 24, 2]",2,28,32,1,0.033,0.03233333333333333,0.0006666666666666666,"[11, 14]",2,5,3,3869,2,100,98,none,False,2,traffic-light-mouselab,36,513220,6,1,2,2,0
