type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight,participant_id
traffic-light-mouselab,False,3,1,[],"[[6, 6, 9, 10, 3], [6, 9, 6, 6, 8], [3, 3, 6, 5, 3]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,29,1,0.052,0.052,0.0,[],0,5,3,530,0,156,156,low,0,traffic-light-mouselab,33,52664,6,0,0,2,0
traffic-light-mouselab,False,3,1,[],"[[6, 1, 4, 4, 7], [5, 6, 5, 7, 4], [4, 6, 7, 6, 6]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[10, 2, 18]",16,30,1,0.043,0.043,0.0,[],0,5,3,758,0,130,130,medium,0,traffic-light-mouselab,34,54122,1,0,0,10,0
traffic-light-mouselab,False,3,1,[],"[[4, 7, 4, 6, 8], [5, 2, 5, 5, 5], [4, 5, 7, 3, 10]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,31,1,0.041,0.041,0.0,[],0,5,3,992,0,124,124,medium,1,traffic-light-mouselab,35,55798,2,0,0,10,0
traffic-light-mouselab,False,3,1,[],"[[7, 5, 5, 7, 7], [4, 6, 3, 3, 4], [6, 4, 3, 8, 5]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 2, 10]",16,32,2,0.042,0.042,0.0,[],0,5,3,538,0,126,126,hi,0,traffic-light-mouselab,36,56902,5,0,0,18,0
traffic-light-mouselab,False,3,1,[],"[[3, 5, 3, 4, 8], [7, 3, 5, 4, 4], [4, 4, 2, 7, 3]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[10, 18, 2]",16,33,2,0.041,0.041,0.0,[],0,5,3,833,0,124,124,medium,0,traffic-light-mouselab,37,58502,3,0,0,10,0
traffic-light-mouselab,True,3,1,"[7, 7, 7, 11]","[[5, 5, 5, 4, 6], [6, 3, 5, 9, 6], [4, 7, 9, 2, 5]]","[[3, 3, 3, 3, 3], [3, 3, 0, 3, 3], [1, 0, 1, 1, 1]]","[18, 2, 10]",16,1,1,0.055,0.05366666666666667,0.0013333333333333333,"[7, 11]",2,5,3,24107,4,166,162,medium,2,traffic-light-mouselab,4,256991,7,0,1,10,1
traffic-light-mouselab,True,3,1,"[0, 4]","[[8, 9, 4, 7, 7], [4, 7, 1, 6, 9], [4, 5, 5, 3, 8]]","[[0, 1, 1, 1, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 10, 2]",16,2,0,0.064,0.06333333333333334,0.0006666666666666666,"[0, 4]",2,5,3,6773,2,192,190,hi,0,traffic-light-mouselab,5,269598,8,0,2,18,1
traffic-light-mouselab,True,3,1,"[1, 3]","[[3, 3, 8, 4, 3], [2, 8, 5, 8, 6], [6, 6, 4, 4, 1]]","[[1, 0, 1, 0, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,3,2,0.046,0.04533333333333333,0.0006666666666666666,"[1, 3]",2,5,3,4602,2,138,136,low,0,traffic-light-mouselab,6,276926,8,1,2,2,1
traffic-light-mouselab,False,3,1,"[0, 2]","[[6, 2, 4, 2, 3], [8, 5, 5, 5, 8], [5, 5, 5, 6, 2]]","[[0, 1, 0, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 10, 2]",16,4,0,0.066,0.06533333333333334,0.0006666666666666666,"[0, 2]",2,5,3,5483,2,198,196,hi,0,traffic-light-mouselab,8,289888,6,1,2,18,1
traffic-light-mouselab,False,3,1,"[8, 8, 8, 0]","[[6, 5, 6, 8, 2], [6, 6, 1, 1, 3], [8, 3, 10, 8, 10]]","[[0, 1, 1, 1, 1], [3, 3, 3, 0, 3], [3, 3, 3, 3, 3]]","[2, 18, 10]",16,5,1,0.049,0.04766666666666667,0.0013333333333333333,"[8, 0]",2,5,3,11671,4,148,144,low,0,traffic-light-mouselab,9,305278,5,0,1,2,1
traffic-light-mouselab,False,3,1,"[4, 4, 4, 11]","[[6, 4, 6, 3, 4], [6, 4, 4, 8, 4], [4, 7, 6, 5, 7]]","[[3, 3, 3, 3, 0], [3, 3, 3, 3, 3], [1, 0, 1, 1, 1]]","[18, 10, 2]",16,6,1,0.042,0.04066666666666667,0.0013333333333333333,"[4, 11]",2,5,3,7757,4,126,122,low,2,traffic-light-mouselab,10,315802,7,1,1,2,1
traffic-light-mouselab,False,3,1,"[10, 0, 2, 3, 1]","[[6, 8, 6, 3, 8], [8, 8, 5, 7, 2], [3, 6, 5, 4, 3]]","[[0, 0, 0, 0, 1], [3, 3, 3, 3, 3], [2, 3, 3, 3, 3]]","[18, 10, 2]",16,7,1,0.079,0.07733333333333334,0.0016666666666666668,"[0, 2, 3, 1]",4,5,3,10255,5,236,231,hi,0,traffic-light-mouselab,11,330948,8,1,4,18,1
traffic-light-mouselab,False,3,1,"[5, 7]","[[6, 5, 9, 3, 7], [2, 5, 7, 4, 6], [2, 6, 7, 4, 3]]","[[3, 3, 3, 3, 3], [0, 1, 0, 1, 1], [3, 3, 3, 3, 3]]","[2, 18, 10]",16,8,2,0.071,0.07033333333333333,0.0006666666666666666,"[5, 7]",2,5,3,4445,2,214,212,hi,1,traffic-light-mouselab,12,337332,7,1,2,18,1
traffic-light-mouselab,False,3,1,"[6, 9, 7]","[[4, 5, 7, 2, 6], [5, 3, 7, 3, 4], [6, 4, 2, 8, 5]]","[[3, 3, 3, 3, 3], [1, 0, 0, 1, 0], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,9,2,0.04,0.039,0.001,"[6, 9, 7]",3,5,3,5303,3,120,117,medium,1,traffic-light-mouselab,13,345238,7,1,3,10,1
traffic-light-mouselab,False,3,1,"[5, 7, 9, 6, 8]","[[6, 8, 2, 4, 8], [6, 5, 6, 8, 5], [6, 6, 10, 4, 7]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[2, 18, 10]",16,10,3,0.064,0.06233333333333334,0.0016666666666666668,"[5, 7, 9, 6, 8]",5,5,3,9271,5,192,187,hi,1,traffic-light-mouselab,14,356284,8,1,5,18,1
traffic-light-mouselab,False,3,1,[10],"[[4, 7, 4, 6, 5], [4, 6, 4, 7, 3], [8, 5, 6, 5, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 1, 1, 1, 1]]","[2, 10, 18]",16,11,0,0.064,0.06366666666666666,0.0003333333333333333,[10],1,5,3,3351,1,192,191,hi,2,traffic-light-mouselab,15,361909,8,1,1,18,1
traffic-light-mouselab,False,3,1,"[0, 2, 3]","[[4, 4, 7, 6, 5], [8, 3, 5, 5, 5], [6, 3, 2, 2, 7]]","[[0, 1, 0, 0, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 10, 2]",16,12,2,0.06,0.059,0.001,"[0, 2, 3]",3,5,3,4952,3,180,177,hi,0,traffic-light-mouselab,16,368744,7,1,3,18,1
traffic-light-mouselab,False,3,1,"[5, 5, 5]","[[3, 7, 4, 6, 5], [7, 8, 5, 4, 7], [6, 5, 2, 8, 8]]","[[3, 3, 3, 3, 3], [0, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[10, 18, 2]",16,13,0,0.056,0.055,0.001,[5],1,5,3,4454,3,168,165,low,2,traffic-light-mouselab,17,374728,6,0,0,2,1
traffic-light-mouselab,False,3,1,"[2, 2, 2, 7]","[[5, 5, 8, 6, 7], [3, 7, 6, 7, 6], [6, 4, 5, 4, 4]]","[[3, 3, 0, 3, 3], [1, 1, 0, 1, 1], [3, 3, 3, 3, 3]]","[18, 10, 2]",16,14,2,0.071,0.06966666666666665,0.0013333333333333333,"[2, 7]",2,5,3,5492,4,214,210,medium,1,traffic-light-mouselab,18,382097,6,0,1,10,1
traffic-light-mouselab,False,3,1,"[1, 3]","[[5, 3, 5, 5, 6], [1, 3, 7, 4, 5], [8, 7, 6, 3, 4]]","[[1, 0, 1, 0, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 2, 10]",16,15,2,0.055,0.05433333333333333,0.0006666666666666666,"[1, 3]",2,5,3,4803,2,164,162,hi,0,traffic-light-mouselab,19,389020,5,0,2,18,1
traffic-light-mouselab,False,3,1,"[2, 11, 11, 11]","[[4, 5, 4, 3, 2], [5, 4, 6, 5, 5], [3, 3, 6, 3, 3]]","[[1, 1, 0, 1, 1], [3, 3, 3, 3, 3], [3, 0, 3, 3, 3]]","[10, 2, 18]",16,16,3,0.031,0.029666666666666668,0.0013333333333333333,"[2, 11]",2,5,3,7224,4,94,90,medium,0,traffic-light-mouselab,20,397987,3,0,1,10,1
traffic-light-mouselab,False,3,1,"[0, 0, 0, 3, 3, 3]","[[6, 7, 4, 4, 6], [6, 4, 5, 8, 4], [8, 5, 4, 6, 5]]","[[0, 3, 3, 0, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[18, 10, 2]",16,17,0,0.061,0.059,0.002,"[0, 3]",2,5,3,8123,6,184,178,low,2,traffic-light-mouselab,21,407549,8,1,0,2,1
traffic-light-mouselab,False,3,1,"[1, 1, 1]","[[8, 7, 4, 5, 6], [4, 4, 1, 4, 3], [5, 4, 7, 3, 7]]","[[3, 0, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[18, 10, 2]",16,18,1,0.058,0.057,0.001,[1],1,5,3,3700,3,174,171,low,2,traffic-light-mouselab,22,412549,4,0,0,2,1
traffic-light-mouselab,False,3,1,"[12, 12, 12, 10, 10, 10]","[[4, 6, 7, 4, 6], [4, 5, 7, 7, 6], [4, 4, 4, 6, 6]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [0, 3, 0, 3, 3]]","[10, 2, 18]",16,19,1,0.047,0.045,0.002,"[12, 10]",2,5,3,7364,6,142,136,low,1,traffic-light-mouselab,23,421313,5,0,0,2,1
traffic-light-mouselab,False,3,1,"[1, 3, 2, 0, 4]","[[4, 4, 2, 3, 7], [7, 4, 8, 7, 4], [4, 4, 6, 6, 4]]","[[0, 0, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[10, 2, 18]",16,20,4,0.05,0.04833333333333334,0.0016666666666666668,"[1, 3, 2, 0, 4]",5,5,3,6320,5,150,145,medium,0,traffic-light-mouselab,24,429353,7,1,5,10,1
traffic-light-mouselab,False,3,1,"[1, 1, 1, 3, 3, 3]","[[7, 3, 4, 2, 3], [4, 6, 6, 6, 4], [4, 3, 6, 6, 4]]","[[3, 0, 3, 0, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[18, 10, 2]",16,21,2,0.048,0.046,0.002,"[1, 3]",2,5,3,5312,6,144,138,low,2,traffic-light-mouselab,25,435963,6,1,0,2,1
traffic-light-mouselab,False,3,1,"[10, 10, 10]","[[6, 3, 2, 5, 7], [4, 7, 7, 6, 7], [6, 2, 8, 3, 6]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [0, 3, 3, 3, 3]]","[2, 10, 18]",16,22,0,0.053,0.052,0.001,[10],1,5,3,3140,3,160,157,low,0,traffic-light-mouselab,26,441345,6,0,0,2,1
traffic-light-mouselab,False,3,1,[11],"[[5, 7, 6, 8, 6], [3, 4, 4, 6, 2], [5, 7, 4, 3, 2]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 0, 1, 1, 1]]","[2, 18, 10]",16,23,1,0.052,0.051666666666666666,0.0003333333333333333,[11],1,5,3,2749,1,156,155,medium,2,traffic-light-mouselab,27,445415,7,1,1,10,1
traffic-light-mouselab,False,3,1,"[1, 1, 1]","[[3, 7, 5, 4, 4], [2, 5, 4, 3, 7], [6, 8, 6, 4, 5]]","[[3, 0, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[18, 2, 10]",16,24,1,0.072,0.071,0.001,[1],1,5,3,3647,3,216,213,medium,2,traffic-light-mouselab,28,450493,8,1,0,10,1
