type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,is_control,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight,num_highlight_reveals,participant_id
traffic-light-mouselab,False,3,1,[],"[[5, 3, 6, 5, 2], [5, 6, 4, 3, 5], [7, 7, 4, 6, 9]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 10, 2]",16,27,4,0.035,0.035,0.0,[],0,5,3,2356,0,104,104,low,True,2,traffic-light-mouselab,31,454938,9,1,0,2,0,0
traffic-light-mouselab,False,3,1,[],"[[4, 3, 5, 5, 3], [4, 7, 5, 6, 3], [5, 4, 5, 4, 1]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[10, 2, 18]",16,28,0,0.046,0.046,0.0,[],0,5,3,1274,0,138,138,hi,True,2,traffic-light-mouselab,32,457793,5,1,0,18,0,0
traffic-light-mouselab,False,3,1,[],"[[5, 5, 4, 3, 6], [5, 9, 2, 6, 2], [4, 5, 8, 4, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,29,1,0.063,0.063,0.0,[],0,5,3,1835,0,190,190,low,True,0,traffic-light-mouselab,33,461016,5,0,0,2,0,0
traffic-light-mouselab,False,3,1,[],"[[4, 5, 5, 4, 5], [2, 3, 3, 1, 6], [7, 3, 7, 6, 7]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[2, 18, 10]",16,30,3,0.029,0.029,0.0,[],0,5,3,2444,0,86,86,hi,False,1,traffic-light-mouselab,34,465074,1,0,0,18,0,0
traffic-light-mouselab,False,3,1,[],"[[6, 5, 5, 4, 5], [4, 6, 4, 5, 4], [4, 3, 2, 5, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 18, 10]",16,31,2,0.034,0.034,0.0,[],0,5,3,1413,0,102,102,medium,True,2,traffic-light-mouselab,35,469249,2,0,0,10,0,0
traffic-light-mouselab,False,3,1,"[0, 1, 3, 2, 4]","[[6, 4, 0, 5, 3], [4, 5, 4, 5, 6], [5, 8, 4, 4, 5]]","[[0, 0, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 2, 10]",16,32,0,0.055,0.05333333333333334,0.0016666666666666668,"[0, 1, 3, 2, 4]",5,5,3,6843,5,166,161,hi,False,0,traffic-light-mouselab,36,477593,6,1,5,18,5,0
traffic-light-mouselab,True,3,1,"[10, 12, 8, 8, 8, 2, 2, 2, 0, 0, 0, 4, 4, 4, 14, 14, 14, 14, 6, 6, 6, 11, 11, 11, 1, 1, 1, 5, 5, 5, 7, 7, 7, 7, 3, 3, 3, 3, 9, 9, 9, 9, 13, 0]","[[7, 4, 4, 3, 5], [6, 6, 9, 5, 3], [6, 4, 3, 4, 7]]","[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]","[18, 2, 10]",16,1,0,0.066,0.05433333333333334,0.011666666666666667,"[10, 12, 8, 2, 0, 4, 14, 6, 11, 1, 5, 7, 3, 9, 13]",15,5,3,57311,35,198,163,medium,False,2,traffic-light-mouselab,4,220937,6,0,10,10,5,1
traffic-light-mouselab,True,3,1,"[0, 0, 0, 11, 11, 11, 8, 8, 8, 8, 13, 13, 13, 13, 12, 12, 12, 12, 7, 7, 7, 7, 2, 2, 2, 1, 1, 1, 6, 6, 6, 6, 5, 5, 5, 10, 10, 10, 3, 3, 3, 4, 4, 4, 9, 9, 9, 14, 14, 14]","[[6, 4, 6, 5, 3], [4, 3, 1, 5, 5], [6, 5, 4, 10, 2]]","[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]","[2, 10, 18]",16,2,3,0.08,0.065,0.015,"[0, 11, 8, 13, 12, 7, 2, 1, 6, 5, 10, 3, 4, 9, 14]",15,5,3,32418,45,240,195,hi,True,2,traffic-light-mouselab,5,255436,10,1,17,18,5,1
traffic-light-mouselab,False,3,1,"[0, 0, 0, 0, 5, 5, 5, 5, 6, 6, 6, 1, 1, 1, 2, 2, 2, 7, 7, 7, 3, 3, 3, 8, 8, 8, 9, 9, 9, 4, 4, 4, 14, 13, 12, 11, 10]","[[2, 5, 4, 5, 4], [4, 3, 4, 4, 3], [7, 7, 4, 4, 1]]","[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]","[2, 10, 18]",16,3,1,0.055,0.043333333333333335,0.011666666666666667,"[0, 5, 6, 1, 2, 7, 3, 8, 9, 4, 14, 13, 12, 11, 10]",15,5,3,30513,35,166,131,hi,False,2,traffic-light-mouselab,7,295807,7,1,5,18,5,1
traffic-light-mouselab,False,3,1,"[6, 6, 6, 13, 13, 13, 2, 2, 2, 4, 4, 4, 0, 0, 0]","[[4, 2, 3, 4, 5], [5, 8, 7, 3, 6], [6, 6, 5, 4, 7]]","[[0, 3, 0, 3, 0], [3, 0, 3, 3, 3], [1, 1, 1, 0, 1]]","[18, 10, 2]",16,4,1,0.043,0.03866666666666666,0.004333333333333333,"[6, 13, 2, 4, 0]",5,5,3,18759,13,128,115,low,False,2,traffic-light-mouselab,8,317431,6,0,3,2,1,1
