type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_variance,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,trial_nudge,nudge_index,accepted_default,accepted_supersize,chose_default,chose_supersize,num_baskets,num_features,cost,trial_type,trial_index,time_elapsed,internal_node_id,prolific_pid,study_id,session_id,nudge_type,participant_id
mouselab,False,"[6, 6, 6]","[[2, 5, 7, 9, 4, 0, 5], [3, 4, 2, 6, 5, 5, 9]]","[[3, 3, 3, 3, 3, 3, 0], [3, 3, 3, 3, 3, 3, 3]]","[2, 8]",9.0,11,6,0.082,0.079,0.003,[6],control,-1,False,False,False,False,7,2,3,implicit-mouselab,13,156344,0.0-3.0-10.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[3, 7], [4, 3]]","[[3, 3], [3, 3]]","[2, 8]",9.0,12,0,0.038,0.038,0.0,[],control,-1,False,False,False,False,2,2,3,implicit-mouselab,14,159310,0.0-3.0-11.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[4, 6], [4, 6], [5, 3], [5, 4], [6, 4]]","[[4, 4], [4, 4], [4, 4], [4, 4], [4, 4]]","[1, 2, 4, 1, 2]",1.2,13,0,0.049,0.049,0.0,[],default,0,True,False,True,False,2,5,4,implicit-mouselab,15,162321,0.0-3.0-12.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[6, 9, 4, 3, 5, 7, 5], [6, 5, 6, 5, 5, 4, 4], [7, 5, 5, 9, 5, 6, 5], [6, 6, 4, 4, 6, 1, 6], [4, 7, 8, 6, 5, 6, 4]]","[[4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4]]","[2, 1, 3, 1, 3]",0.8,14,5,0.055,0.055,0.0,[],default,5,True,False,True,False,7,5,4,implicit-mouselab,16,165830,0.0-3.0-13.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[3, 7], [6, 7]]","[[4, 4], [4, 4]]","[4, 6]",1.0,15,1,0.07,0.07,0.0,[],default,1,True,False,True,False,2,2,4,implicit-mouselab,17,169899,0.0-3.0-14.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[9, 8, 4, 4, 7, 5, 4], [7, 2, 6, 3, 3, 5, 6], [4, 6, 6, 4, 4, 3, 5], [5, 4, 5, 6, 8, 5, 5], [6, 4, 5, 5, 6, 2, 6]]","[[2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2]]","[3, 1, 2, 3, 1]",0.8,16,0,0.063,0.063,0.0,[],default,0,True,False,True,False,7,5,2,implicit-mouselab,18,173127,0.0-3.0-15.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[8, 4, 2, 8, 3, 4, 9], [4, 5, 4, 3, 6, 5, 6]]","[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]","[9, 1]",16.0,17,3,0.075,0.075,0.0,[],control,-1,False,False,False,False,7,2,1,implicit-mouselab,19,176054,0.0-3.0-16.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[6],"[[7, 1], [5, 4], [6, 3], [7, 5], [6, 6]]","[[1, 1], [1, 1], [1, 1], [0, 1], [1, 1]]","[1, 3, 1, 4, 1]",1.6,18,0,0.062,0.061,0.001,[6],control,-1,False,False,False,False,2,5,1,implicit-mouselab,20,186889,0.0-3.0-17.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[4, 7, 5, 6, 1, 6, 6], [6, 3, 3, 5, 5, 5, 4]]","[[3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3]]","[8, 2]",9.0,19,3,0.058,0.058,0.0,[],control,-1,False,False,False,False,7,2,3,implicit-mouselab,21,190000,0.0-3.0-18.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[7, 4], [4, 3]]","[[2, 2], [2, 2]]","[1, 9]",16.0,20,1,0.031,0.031,0.0,[],default,1,True,False,True,False,2,2,2,implicit-mouselab,22,192675,0.0-3.0-19.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
