"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","num_values_revealed","nudge_type","num_baskets","num_features","reaction_time","points_click_cost","points_action_utility","points_metalevel_reward","problem_id","trial_type","trial_index","time_elapsed","participant_id"
"22","mouselab","False","[]","[[3, 4, 4, 6, 6], [4, 9, 4, 1, 8], [3, 5, 4, 2, 5], [5, 4, 4, 6, 6], [6, 8, 2, 2, 5]]","[[2, 2, 2, 2, 2], [0, 0, 2, 0, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 0, 0, 2, 0]]","[1, 10, 3, 1, 15]",26,22,1,0.078,0.078,0,"[]",0,"extreme",5,5,2491,0,233,233,9119517580776991744,"attentional-mouselab",26,581217,0
"23","mouselab","False","[3, 3]","[[4, 6, 5, 8, 2], [5, 5, 7, 8, 5], [3, 6, 5, 5, 7], [9, 4, 2, 4, 5], [4, 4, 3, 3, 6]]","[[0, 2, 2, 2, 0], [0, 2, 2, 2, 2], [2, 2, 2, 0, 2], [0, 2, 0, 2, 2], [2, 2, 2, 2, 2]]","[15, 6, 2, 3, 4]",18,23,3,0.067,0.0663333333333333,0.000666666666666667,"[3]",1,"extreme",5,5,5910,2,202,200,1.6433368985985e+19,"attentional-mouselab",27,588704,0
"24","mouselab","False","[1, 1]","[[6, 5, 5, 0, 7], [5, 8, 4, 4, 8], [5, 4, 3, 5, 4], [6, 4, 2, 6, 5], [6, 8, 6, 4, 7]]","[[2, 2, 2, 0, 0], [0, 0, 2, 0, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 0, 2]]","[11, 6, 8, 2, 3]",14,24,4,0.063,0.0623333333333333,0.000666666666666667,"[1]",1,"random",5,5,9453,2,188,186,12605705373982920704,"attentional-mouselab",28,599556,0
"25","mouselab","False","[22, 22, 24, 24, 20, 20]","[[6, 3, 7, 7, 8], [5, 6, 5, 3, 1], [4, 5, 9, 6, 6], [7, 4, 6, 6, 4], [5, 8, 5, 9, 2]]","[[2, 0, 2, 2, 0], [2, 2, 2, 2, 2], [0, 2, 2, 2, 2], [0, 0, 2, 2, 2], [2, 2, 2, 0, 2]]","[1, 3, 8, 4, 14]",20,25,0,0.05,0.048,0.002,"[22, 24, 20]",3,"random",5,5,8569,6,151,145,1.1303365877844e+19,"attentional-mouselab",29,609778,0
"26","mouselab","False","[]","[[2, 3, 4, 3, 7], [6, 8, 7, 4, 8], [4, 6, 6, 2, 5], [5, 3, 5, 6, 2], [6, 4, 6, 3, 5]]","[[2, 0, 2, 2, 2], [2, 0, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 2, 0, 2], [2, 2, 2, 0, 0]]","[5, 10, 8, 6, 1]",12,26,1,0.055,0.055,0,"[]",0,"random",5,5,2880,0,165,165,22701537284638200,"attentional-mouselab",30,614406,0
"27","mouselab","False","[8, 8]","[[4, 8, 4, 7, 4], [4, 6, 5, 6, 1], [5, 4, 6, 7, 4], [1, 4, 5, 5, 4], [7, 5, 6, 7, 5]]","[[2, 2, 2, 0, 0], [2, 0, 2, 2, 2], [2, 2, 2, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 0, 2]]","[7, 8, 9, 5, 1]",12,27,3,0.064,0.0633333333333333,0.000666666666666667,"[8]",1,"greedy",5,5,9687,2,192,190,6113316838123599872,"attentional-mouselab",31,625491,0
"28","mouselab","False","[20, 20, 23, 23, 24, 24]","[[5, 3, 7, 3, 5], [6, 5, 5, 6, 7], [5, 4, 3, 3, 8], [5, 3, 6, 6, 8], [4, 3, 5, 4, 4]]","[[2, 2, 2, 0, 2], [2, 2, 2, 2, 0], [2, 0, 2, 2, 0], [2, 2, 2, 2, 0], [2, 0, 2, 2, 2]]","[4, 1, 11, 1, 13]",24,28,4,0.058,0.056,0.002,"[20, 23, 24]",3,"greedy",5,5,10067,6,175,169,2981354973238445056,"attentional-mouselab",32,637009,0
"29","mouselab","False","[0, 0]","[[7, 5, 2, 3, 6], [4, 4, 2, 5, 8], [6, 4, 4, 7, 1], [6, 6, 7, 3, 2], [6, 5, 5, 5, 3]]","[[2, 2, 0, 2, 2], [2, 2, 0, 2, 2], [2, 2, 0, 2, 0], [2, 2, 2, 2, 0], [2, 0, 2, 2, 2]]","[17, 3, 2, 2, 6]",22,29,0,0.064,0.0633333333333333,0.000666666666666667,"[0]",1,"extreme",5,5,5889,2,191,189,18119771025229551616,"attentional-mouselab",33,644697,0
"30","mouselab","False","[15, 15]","[[6, 7, 5, 10, 5], [3, 6, 5, 5, 9], [8, 3, 5, 5, 4], [6, 7, 5, 3, 1], [7, 6, 5, 6, 4]]","[[2, 2, 2, 0, 2], [2, 2, 2, 2, 0], [0, 2, 0, 2, 2], [2, 2, 2, 2, 0], [2, 2, 2, 0, 2]]","[4, 1, 2, 22, 1]",32,30,0,0.061,0.0603333333333333,0.000666666666666667,"[15]",1,"extreme",5,5,5698,2,182,180,1128588237226646784,"attentional-mouselab",34,652099,0
"31","mouselab","False","[5, 5]","[[4, 6, 2, 8, 5], [5, 6, 6, 6, 8], [6, 7, 8, 3, 0], [7, 6, 6, 7, 7], [3, 6, 5, 3, 6]]","[[2, 0, 0, 0, 2], [2, 2, 2, 2, 2], [0, 2, 2, 2, 0], [2, 2, 0, 2, 2], [2, 2, 2, 2, 2]]","[2, 8, 13, 3, 4]",18,31,0,0.053,0.0523333333333333,0.000666666666666667,"[5]",1,"extreme",5,5,8180,2,159,157,9517422732880695296,"attentional-mouselab",35,661964,0
